City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
18,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
22,Butaritari,KI,82.98,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
24,Salinopolis,BR,81.09,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
31,El Sauce,NI,82.6,broken clouds,12.8869,-86.539,Hotel Blanco
33,Bengkulu,ID,76.03,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
38,Faanui,PF,78.4,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
40,Lorengau,PG,80.78,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
43,Dubuque,US,82.22,few clouds,42.4833,-90.8668,American Inn and Suites
47,Posadas,AR,80.58,clear sky,-27.3671,-55.8961,Hotel Posadas
54,Bontang,ID,76.48,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
65,Turan,VN,77.05,broken clouds,16.0678,108.2208,Sun River Hotel
69,Todos Santos,MX,84.0,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
82,Hilo,US,82.13,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
87,Naze,JP,77.92,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
90,Nansio,TZ,75.06,clear sky,-2.1333,33.05,Monarch Beach Hotel
92,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
99,Shinyanga,TZ,75.67,clear sky,-3.6667,33.4333,Dami Hotel
103,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
104,Alappuzha,IN,79.48,broken clouds,9.49,76.3264,Panoramic Sea Resort
107,Atuona,PF,77.94,scattered clouds,-9.8,-139.0333,Villa Enata
113,Jamestown,US,76.59,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
115,Sao Filipe,CV,80.19,scattered clouds,14.8961,-24.4956,Hotel Xaguate
121,Kununurra,AU,84.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
128,Karratha,AU,76.06,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
131,Sabha,LY,82.74,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
135,Mpulungu,ZM,76.91,clear sky,-8.7623,31.1141,Chela moche guest house
136,Georgetown,MY,76.93,few clouds,5.4112,100.3354,Cititel Penang
139,Takoradi,GH,76.28,broken clouds,4.8845,-1.7554,Raybow International Hotel
148,Laminusa,PH,80.76,overcast clouds,5.5549,120.9136,Laminusa Port
150,Guerrero Negro,MX,78.76,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
