City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,50.16,62,40,10.36,scattered clouds
1,Pochutla,MX,15.7432,-96.4661,85.82,65,91,5.48,overcast clouds
2,Saint-Philippe,RE,-21.3585,55.7679,67.55,80,98,13.38,light rain
3,Valle Hermoso,MX,25.6667,-97.8333,95.14,57,2,17.54,clear sky
4,Mataura,NZ,-46.1927,168.8643,49.62,87,99,3.8,moderate rain
5,Khatanga,RU,71.9667,102.5,31.05,98,93,0.92,overcast clouds
6,Gold Coast,AU,-28.0,153.4333,71.67,60,73,14.97,broken clouds
7,Vostok,RU,46.4856,135.8833,46.96,97,100,2.98,heavy intensity rain
8,Rockland,US,41.1668,-74.0496,70.65,66,30,6.08,scattered clouds
9,Kapaa,US,22.0752,-159.319,85.98,65,75,17.27,light rain
10,East London,ZA,-33.0153,27.9116,57.52,51,45,24.09,scattered clouds
11,Cognac,FR,45.5,-0.25,60.4,82,90,4.61,overcast clouds
12,Cap Malheureux,MU,-19.9842,57.6142,68.49,72,8,20.76,clear sky
13,Lompoc,US,34.6391,-120.4579,91.54,58,1,12.66,clear sky
14,Dilla,ET,6.41,38.31,62.53,89,92,4.09,overcast clouds
15,Kruisfontein,ZA,-34.0033,24.7314,55.54,58,82,18.9,broken clouds
16,Barrow,US,71.2906,-156.7887,33.82,64,75,11.5,light rain
17,Chuy,UY,-33.6971,-53.4616,58.64,94,86,14.9,overcast clouds
18,Riyadh,SA,24.6877,46.7219,78.94,17,0,8.23,clear sky
19,Ushuaia,AR,-54.8,-68.3,42.46,87,90,9.22,light intensity drizzle
20,Arraial Do Cabo,BR,-22.9661,-42.0278,71.37,88,15,27.67,few clouds
21,Busselton,AU,-33.65,115.3333,51.51,64,0,9.42,clear sky
22,Butaritari,KI,3.0707,172.7902,82.98,71,86,15.03,overcast clouds
23,Hasan Abdal,PK,30.4333,72.7,85.62,59,65,6.71,broken clouds
24,Salinopolis,BR,-0.6136,-47.3561,81.09,75,77,11.52,broken clouds
25,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,88.88,12,6,3.0,clear sky
26,Komsomolskiy,UZ,40.4272,71.7189,62.83,27,0,1.92,clear sky
27,Dikson,RU,73.5069,80.5464,35.44,75,100,8.43,overcast clouds
28,Lebu,CL,-37.6167,-73.65,50.38,84,0,21.21,clear sky
29,Hakodate,JP,41.7758,140.7367,70.11,83,75,19.57,broken clouds
30,Nouakchott,MR,18.0858,-15.9785,89.53,68,5,22.39,clear sky
31,El Sauce,NI,12.8869,-86.539,82.6,80,78,3.11,broken clouds
32,Holoby,UA,51.0865,25.0077,41.43,91,100,13.04,overcast clouds
33,Bengkulu,ID,-3.8004,102.2655,76.03,88,96,2.35,overcast clouds
34,Carbonia,IT,39.1672,8.5222,65.05,81,1,6.13,clear sky
35,Gua Musang,MY,4.8823,101.9644,71.19,97,72,1.52,broken clouds
36,Fort-Shevchenko,KZ,44.5086,50.263,68.13,55,92,13.8,overcast clouds
37,Nikolskoye,RU,59.7035,30.7861,42.69,74,97,7.25,light rain
38,Faanui,PF,-16.4833,-151.75,78.4,73,25,12.01,scattered clouds
39,Talnakh,RU,69.4865,88.3972,31.41,85,87,4.21,overcast clouds
