City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ilulissat,GL,2021-09-20 01:50:44,69.2167,-51.1,15.85,70,100,6.71
1,Lamlash,GB,2021-09-20 01:50:45,55.5336,-5.1296,48.27,90,0,1.52
2,Cape Town,ZA,2021-09-20 01:46:51,-33.9258,18.4232,58.87,82,75,1.01
3,Lichuan,CN,2021-09-20 01:50:47,30.3,108.85,68.83,68,1,2.59
4,Alofi,NU,2021-09-20 01:50:48,-19.0595,-169.9187,82.29,69,2,6.91
5,Acapulco,MX,2021-09-20 01:46:13,16.8634,-99.8901,79.75,82,46,2.68
6,Road Town,VG,2021-09-20 01:46:14,18.4167,-64.6167,80.69,74,2,14.92
7,Ushuaia,AR,2021-09-20 01:50:51,-54.8,-68.3,40.66,75,75,16.11
8,Qaanaaq,GL,2021-09-20 01:50:52,77.484,-69.3632,10.62,82,19,7.45
9,Garden City,US,2021-09-20 01:50:53,42.3256,-83.331,70.99,64,40,4.61
10,Severo-Kurilsk,RU,2021-09-20 01:50:54,50.6789,156.125,51.82,75,53,17.18
11,Lebu,CL,2021-09-20 01:50:56,-37.6167,-73.65,47.64,82,0,15.28
12,Thompson,CA,2021-09-20 01:50:57,55.7435,-97.8558,53.76,82,90,12.66
13,Thinadhoo,MV,2021-09-20 01:50:58,0.5333,72.9333,83.57,70,92,6.46
14,Busselton,AU,2021-09-20 01:50:59,-33.65,115.3333,56.05,57,0,13.98
15,Puerto Ayora,EC,2021-09-20 01:48:30,-0.7393,-90.3518,68.56,93,44,4.0
16,Saint-Philippe,RE,2021-09-20 01:51:01,-21.3585,55.7679,63.99,79,30,11.7
17,Abha,SA,2021-09-20 01:51:04,18.2164,42.5053,64.22,27,0,0.0
18,Fairbanks,US,2021-09-20 01:47:15,64.8378,-147.7164,50.59,61,20,2.3
19,Hilo,US,2021-09-20 01:51:06,19.7297,-155.09,82.27,76,90,6.91
20,Castro,BR,2021-09-20 01:51:07,-24.7911,-50.0119,65.91,86,100,2.93
21,Kavieng,PG,2021-09-20 01:51:08,-2.5744,150.7967,84.34,69,99,6.17
22,Grindavik,IS,2021-09-20 01:51:09,63.8424,-22.4338,51.75,100,90,19.57
23,Albany,US,2021-09-20 01:51:10,42.6001,-73.9662,58.53,86,0,2.84
24,Tiksi,RU,2021-09-20 01:51:11,71.6872,128.8694,34.86,70,88,19.08
25,Hermanus,ZA,2021-09-20 01:51:12,-34.4187,19.2345,55.9,78,27,15.64
26,Yellowknife,CA,2021-09-20 01:51:13,62.456,-114.3525,46.92,71,40,5.75
27,Izhma,RU,2021-09-20 01:51:14,65.0083,53.9113,39.33,65,100,9.95
28,Tuktoyaktuk,CA,2021-09-20 01:51:15,69.4541,-133.0374,44.6,53,20,14.97
29,Nikolskoye,RU,2021-09-20 01:51:16,59.7035,30.7861,40.89,82,100,8.75
30,Mataura,NZ,2021-09-20 01:51:17,-46.1927,168.8643,57.2,59,98,8.43
